true_label,pred_label,correct,confidence,logit_0,logit_1,logit_2
2,0,0,0.8348599672317505,-0.18049126863479614,-4.434301376342773,-1.8755110502243042
0,0,1,0.8052495718002319,-0.21660302579402924,-2.144463300704956,-2.5559356212615967
1,1,1,0.9471645355224609,-3.7059528827667236,-0.05428245663642883,-3.5663530826568604
0,2,0,0.5508353114128113,-1.3754446506500244,-1.627411127090454,-0.5963194370269775
1,1,1,0.5678521394729614,-2.8792524337768555,-0.5658942461013794,-0.9782429933547974
1,1,1,0.9687814712524414,-5.342806816101074,-0.03171621263027191,-3.6330230236053467
1,1,1,0.9958924055099487,-6.767430305480957,-0.004116053692996502,-5.823600769042969
2,0,0,0.7404671907424927,-0.3004739582538605,-2.8316972255706787,-1.6063425540924072
0,0,1,0.7080352902412415,-0.3452613353729248,-1.4478938579559326,-2.866461992263794
2,1,0,0.8478830456733704,-2.595081090927124,-0.16501256823539734,-2.557772397994995
0,0,1,0.8671667575836182,-0.14252397418022156,-5.069762229919434,-2.0671236515045166
1,1,1,0.7685995101928711,-3.3698410987854004,-0.26318517327308655,-1.6245242357254028
2,2,1,0.35959845781326294,-1.1535054445266724,-1.1243215799331665,-1.0227673053741455
1,2,0,0.42055830359458923,-1.8027747869491577,-0.8804391622543335,-0.866172194480896
1,1,1,0.9502179026603699,-5.498073577880859,-0.05106395110487938,-3.085930347442627
0,0,1,0.9358534216880798,-0.06629641354084015,-3.565403938293457,-3.32810378074646
1,1,1,0.927997350692749,-4.592848300933838,-0.074726402759552,-2.7825796604156494
0,2,0,0.8317499160766602,-2.271308183670044,-2.732245683670044,-0.184223473072052
1,1,1,0.8710864782333374,-5.386789798736572,-0.138014018535614,-2.0847604274749756
2,2,1,0.463947057723999,-1.5868639945983887,-1.1041674613952637,-0.7679848670959473
1,1,1,0.9898461103439331,-5.75670862197876,-0.010205792263150215,-4.9629225730896
0,0,1,0.8148888349533081,-0.20470356941223145,-2.4131019115448,-2.347853422164917
1,1,1,0.5052949786186218,-2.2813477516174316,-0.6826128959655762,-0.9350695013999939
2,0,0,0.6369433999061584,-0.451074481010437,-1.227889060974121,-2.6571712493896484
2,2,1,0.3812476396560669,-1.0774567127227783,-1.2790842056274414,-0.9643060564994812
1,2,0,0.8637624382972717,-3.1992037296295166,-2.3492274284362793,-0.1464575082063675
0,0,1,0.4058959186077118,-0.9016585350036621,-1.154700756072998,-1.27671480178833
0,0,1,0.6236491799354553,-0.4721672832965851,-2.8980305194854736,-1.1356319189071655
