true_label,pred_label,correct,confidence,logit_0,logit_1,logit_2
2,2,1,0.9737520217895508,-5.5826826095581055,-3.7948877811431885,-0.026598606258630753
1,1,1,0.513428270816803,-0.9635310769081116,-0.6666449308395386,-2.253523826599121
2,2,1,0.9708157181739807,-3.7116858959198,-5.350046634674072,-0.02961861342191696
2,1,0,0.6803002953529358,-2.879218578338623,-0.3852209746837616,-1.3336219787597656
2,2,1,0.9719849228858948,-5.680553913116455,-3.7048721313476562,-0.028414985164999962
2,1,0,0.7889204025268555,-3.225743293762207,-0.2370898425579071,-1.7640275955200195
1,2,0,0.5813853740692139,-0.9704177379608154,-3.226658582687378,-0.5423414707183838
2,2,1,0.9963611960411072,-7.09128999710083,-5.875837802886963,-0.003645440563559532
0,0,1,0.780704915523529,-0.24755795300006866,-3.0129730701446533,-1.7710769176483154
2,2,1,0.7705303430557251,-3.9693942070007324,-1.5578669309616089,-0.26067623496055603
0,0,1,0.9920057654380798,-0.008026359602808952,-5.092818260192871,-6.290631294250488
0,2,0,0.9811238646507263,-4.684267044067383,-4.642186164855957,-0.019056564196944237
0,0,1,0.3981752097606659,-0.9208630919456482,-1.473784327507019,-0.9867995977401733
2,1,0,0.9079686403274536,-4.321206092834473,-0.09654543548822403,-2.5415093898773193
0,0,1,0.8347388505935669,-0.18063636124134064,-2.1716132164001465,-2.970698356628418
0,1,0,0.7608632445335388,-1.5411601066589355,-0.2733016312122345,-3.688711166381836
1,2,0,0.8697664737701416,-4.04293966293335,-2.1831350326538086,-0.13953052461147308
0,0,1,0.5553734302520752,-0.5881144404411316,-1.5726133584976196,-1.4391705989837646
1,1,1,0.9924915432929993,-5.343753814697266,-0.007536787074059248,-5.903232574462891
2,2,1,0.8400702476501465,-4.3481292724609375,-1.9173314571380615,-0.17426976561546326
1,1,1,0.9496563673019409,-6.303579807281494,-0.05165507644414902,-3.0259058475494385
2,2,1,0.9715898036956787,-6.0454020500183105,-3.648061990737915,-0.02882157638669014
1,1,1,0.5746303796768188,-1.832935094833374,-0.5540282726287842,-1.3264186382293701
2,1,0,0.50751131772995,-3.6475155353546143,-0.6782362461090088,-0.762641191482544
1,1,1,0.9822064638137817,-6.860495090484619,-0.017953744158148766,-4.089648246765137
2,1,0,0.759516716003418,-4.503546237945557,-0.27507296204566956,-1.4722288846969604
2,2,1,0.9761729836463928,-4.288632392883301,-4.59489631652832,-0.02411547116935253
2,2,1,0.9156712293624878,-4.492532730102539,-2.6154277324676514,-0.08809790015220642
0,0,1,0.39105257391929626,-0.9389132857322693,-1.3038878440856934,-1.0862693786621094
0,0,1,0.9665002226829529,-0.03407375141978264,-4.653839588165283,-3.7307515144348145
1,1,1,0.7234070301055908,-3.1777236461639404,-0.3237832486629486,-1.4485418796539307
0,0,1,0.8289740681648254,-0.18756639957427979,-2.5236051082611084,-2.3984804153442383
1,1,1,0.9638708233833313,-5.894611358642578,-0.03679799288511276,-3.399949073791504
2,1,0,0.8250741958618164,-3.4247729778289795,-0.19228196144104004,-1.9493319988250732
0,2,0,0.8207621574401855,-2.9368979930877686,-2.069824457168579,-0.19752191007137299
1,1,1,0.9447124004364014,-3.50471830368042,-0.05687473714351654,-3.6796302795410156
1,1,1,0.8885220885276794,-2.6511194705963135,-0.11819577217102051,-3.196485757827759
1,1,1,0.8905503749847412,-3.494549512863159,-0.11591560393571854,-2.5372049808502197
2,2,1,0.9295637011528015,-2.8750619888305664,-4.267012596130371,-0.0730399414896965
1,1,1,0.7002880573272705,-1.45382821559906,-0.35626351833343506,-2.717527151107788
0,0,1,0.6967132091522217,-0.3613814115524292,-1.372390627861023,-3.000009536743164
0,2,0,0.4073745608329773,-1.0512834787368774,-1.4141321182250977,-0.8980222344398499
2,2,1,0.957504391670227,-3.9506773948669434,-3.7612788677215576,-0.04342497140169144
0,1,0,0.9594916105270386,-3.322256326675415,-0.04135170578956604,-5.4177680015563965
2,1,0,0.6387292146682739,-2.269338607788086,-0.4482746720314026,-1.3552212715148926
2,2,1,0.9701910018920898,-3.8654820919036865,-4.7266364097595215,-0.03026231750845909
0,0,1,0.881148636341095,-0.12652894854545593,-3.6278483867645264,-2.382948160171509
0,0,1,0.5594232678413391,-0.5808488130569458,-1.0830950736999512,-2.282482147216797
0,0,1,0.7302705645561218,-0.31434017419815063,-1.8440799713134766,-2.1932053565979004
1,1,1,0.5491101741790771,-2.7999463081359863,-0.5994561910629272,-0.9414123296737671
1,1,1,0.9851326942443848,-6.293269634246826,-0.014978932216763496,-4.341380596160889
0,0,1,0.9360588192939758,-0.06607696413993835,-3.0472898483276367,-4.107203006744385
0,0,1,0.8877077102661133,-0.11911274492740631,-2.458509922027588,-3.621969699859619
2,2,1,0.9553542137145996,-4.1030402183532715,-3.5711543560028076,-0.045673102140426636
0,0,1,0.9708149433135986,-0.029619412496685982,-3.9576823711395264,-4.597437381744385
1,1,1,0.9982408285140991,-7.422461032867432,-0.00176072062458843,-6.758054256439209
0,2,0,0.6651121973991394,-1.4226630926132202,-2.366413116455078,-0.407799631357193
1,0,0,0.8948416709899902,-0.11110848188400269,-2.530827045440674,-3.666527271270752
0,1,0,0.44237908720970154,-0.8347073793411255,-0.815588116645813,-2.0905468463897705
2,2,1,0.9284877181053162,-3.497908592224121,-3.18806529045105,-0.07419812679290771
0,0,1,0.5735766887664795,-0.555863618850708,-3.168388605117798,-0.9561964869499207
1,1,1,0.9931455850601196,-7.426175117492676,-0.00687801418825984,-5.073736190795898
0,0,1,0.8386245369911194,-0.1759921908378601,-2.3416006565093994,-2.730267286300659
2,2,1,0.9379288554191589,-3.1668860912323,-3.9152069091796875,-0.06408117711544037
2,1,0,0.9219162464141846,-3.656283378601074,-0.08130089938640594,-2.9516119956970215
1,1,1,0.9849923849105835,-5.352604866027832,-0.015121368691325188,-4.5783491134643555
2,2,1,0.7597388625144958,-2.1408913135528564,-2.0979225635528564,-0.2747805118560791
2,2,1,0.9791116118431091,-6.300658702850342,-3.9605112075805664,-0.02110963687300682
1,0,0,0.5142167806625366,-0.6651103496551514,-1.1806724071502686,-1.721985101699829
1,1,1,0.7606071829795837,-5.253466606140137,-0.2736382484436035,-1.4517359733581543
0,1,0,0.6659974455833435,-1.2717256546020508,-0.406469464302063,-2.925178050994873
2,0,0,0.5187437534332275,-0.6563452482223511,-2.1479294300079346,-1.00914466381073
2,1,0,0.9749264121055603,-4.610808849334717,-0.025393284857273102,-4.1910858154296875
0,0,1,0.7067776322364807,-0.34703919291496277,-3.093696117401123,-1.3947770595550537
0,0,1,0.8206643462181091,-0.19764108955860138,-1.9342647790908813,-3.357988119125366
1,1,1,0.7986071705818176,-2.626626491546631,-0.22488610446453094,-2.0473945140838623
1,0,0,0.5518843531608582,-0.5944167375564575,-1.0135236978530884,-2.463014841079712
1,1,1,0.9567680358886719,-3.6987366676330566,-0.0441943034529686,-3.9912192821502686
2,2,1,0.6931793093681335,-3.61138653755188,-1.2736575603485107,-0.36646658182144165
2,2,1,0.9599543213844299,-4.866018772125244,-3.431398868560791,-0.0408695787191391
0,0,1,0.9793936014175415,-0.020821673795580864,-4.331598281860352,-4.8982038497924805
0,0,1,0.7869653701782227,-0.23957103490829468,-2.5966739654541016,-1.976786494255066
1,2,0,0.68578040599823,-4.398536205291748,-1.1975791454315186,-0.37719789147377014
2,2,1,0.53060382604599,-1.8226858377456665,-1.1782889366149902,-0.6337396502494812
2,2,1,0.5592784881591797,-1.4371050596237183,-1.5940231084823608,-0.5811077356338501
2,2,1,0.9849020838737488,-5.843477249145508,-4.406380653381348,-0.015213049948215485
