gold_answers_json,prediction,exact_match,f1,correct_em,token_confidences_json,generated_token_ids_json,seq_conf_mean,seq_conf_min,seq_conf_logmean,generated_length
"[""Town Moor""]",here,0,0.0,0,"[0.5080744028091431, 0.5688518285751343, 0.784173309803009, 0.22143888473510742, 0.34134823083877563, 0.3994102478027344, 0.4303852617740631, 0.4484061896800995, 0.45687136054039, 0.4659367501735687, 0.4712352752685547, 0.47654131054878235, 0.480059951543808, 0.48238062858581543, 0.4840185046195984, 0.4861341416835785, 0.4877992868423462, 0.4888322651386261, 0.4901329576969147]","[270, 1, 1515, 16, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270]",0.4722121467715816,0.22143888473510742,-0.7750966945233019,19
"[""Hampstead Heath""]",Hyde,0,0.0,0,"[0.7203035950660706, 0.99994957447052, 0.9724115133285522, 0.9565356373786926, 0.3093374967575073, 0.35522061586380005, 0.4304561913013458, 0.4803110659122467, 0.5130472779273987, 0.5443386435508728, 0.568877637386322, 0.587920606136322, 0.6032772660255432, 0.6145991086959839, 0.6239298582077026, 0.6325112581253052, 0.640125572681427, 0.6465305685997009, 0.6547983288764954]","[5555, 221, 1, 1, 5845, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555]",0.6239200955943057,0.3093374967575073,-0.5149227382449993,19
"[""Club""]",United,0,0.0,0,"[0.6314157843589783, 0.7362507581710815, 0.4335854947566986, 0.4658088982105255, 0.5378971099853516, 0.5668721199035645, 0.5800060033798218, 0.5929653644561768, 0.5955612659454346, 0.6001473069190979, 0.6030320525169373, 0.6073388457298279, 0.6095882654190063, 0.610854983329773, 0.6113395690917969, 0.6128907799720764, 0.6139690279960632, 0.6149657964706421, 0.6146301031112671]","[907, 1, 1, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907, 907]",0.5915326068275853,0.4335854947566986,-0.5307486309972687,19
"[""Newcastle""]",Newcastle,1,1.0,1,"[0.38190799951553345, 0.7298920750617981, 0.9262580871582031, 0.11799900978803635, 0.2785227596759796, 0.323162704706192, 0.34833061695098877, 0.3663042485713959, 0.3656100928783417, 0.36573526263237, 0.36541980504989624, 0.3690267503261566, 0.3694470226764679, 0.36967989802360535, 0.36882326006889343, 0.36943838000297546, 0.36981862783432007, 0.3704874515533447, 0.3670848608016968]","[21225, 1, 1, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.39594467964611557,0.11799900978803635,-0.997231991476389,19
"[""green space""]",the freemen of the city have the right,0,0.0,0,"[0.3508220911026001, 0.9497382640838623, 0.9988566637039185, 0.9169065952301025, 0.9981082677841187, 0.9987404942512512, 0.6597787141799927, 0.9973350167274475, 0.9980546236038208, 0.6744422316551208, 0.5820561051368713, 0.5389479994773865, 0.522555947303772, 0.484666109085083, 0.4488399028778076, 0.4132005274295807, 0.37914371490478516, 0.3537352383136749, 0.329305499792099]","[8, 339, 904, 13, 8, 690, 43, 8, 269, 1, 1, 5555, 5555, 5555, 5555, 5555, 5555, 5555, 5555]",0.6629070529812261,0.329305499792099,-0.4916735954671049,19
"[""Newcastle""]",Newcastle,1,1.0,1,"[0.26920992136001587, 0.770558774471283, 0.8564814329147339, 0.11401517689228058, 0.1722058355808258, 0.21600353717803955, 0.2412690669298172, 0.25662004947662354, 0.25903570652008057, 0.26168301701545715, 0.2628384828567505, 0.26563695073127747, 0.2665088474750519, 0.266623318195343, 0.2661377489566803, 0.2667052149772644, 0.26703891158103943, 0.2669823467731476, 0.2653716802597046]","[21225, 1, 1, 3457, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.30583821158660085,0.11401517689228058,-1.2938528085793093,19
"[""cattle""]",Green space,0,0.0,0,"[0.30875667929649353, 0.9439184665679932, 0.8715791702270508, 0.9528020024299622, 0.0661303848028183, 0.11355232447385788, 0.12008532136678696, 0.11541497707366943, 0.12715530395507812, 0.14789097011089325, 0.16633377969264984, 0.18436364829540253, 0.19944144785404205, 0.2107098400592804, 0.21932116150856018, 0.22892148792743683, 0.23615388572216034, 0.2403123378753662, 0.24478043615818024]","[1862, 628, 1, 1, 1524, 37, 37, 37, 1862, 1862, 1862, 1862, 1862, 1862, 1862, 1862, 1862, 1862, 1862]",0.2998749276525096,0.0661303848028183,-1.4992062934970554,19
"[""the Royal Shakespeare Company""]","Bob Geldof, King Harald V of Norway, Bobby Robson, Alan Shear",0,0.0,0,"[0.9438839554786682, 0.9997381567955017, 0.9999957084655762, 0.9997982382774353, 0.9983741044998169, 0.9999972581863403, 0.9999679327011108, 0.9999525547027588, 0.999626636505127, 0.994047999382019, 0.998591959476471, 0.9999268054962158, 0.999936580657959, 0.9999797344207764, 0.999958872795105, 0.9984954595565796, 0.9995463490486145, 0.9996277093887329, 0.9996365308761597]","[5762, 6213, 858, 6, 2671, 3504, 138, 26, 584, 13, 16491, 6, 21395, 5376, 739, 6, 12453, 451, 291]",0.9963727656163668,0.9438839554786682,-0.0037144768363238947,19
"[""Stagecoach North East""]","Nexus,",0,0.0,0,"[0.4120597243309021, 0.999996542930603, 0.9950941801071167, 0.8355050086975098, 0.2546698749065399, 0.15603050589561462, 0.10705123096704483, 0.09160768240690231, 0.08483268320560455, 0.08285026252269745, 0.08362820744514465, 0.0844678282737732, 0.08479044586420059, 0.09331018477678299, 0.1042795404791832, 0.11752723902463913, 0.1296992003917694, 0.14576786756515503, 0.15550319850444794]","[20024, 302, 6, 1, 1, 8, 8, 8, 8, 8, 8, 8, 8, 20024, 20024, 20024, 20024, 20024, 20024]",0.2641406004366122,0.08285026252269745,-1.7843415621852954,19
"[""Stagecoach""]",Haymarket,0,0.0,0,"[0.5866684913635254, 0.9997411370277405, 0.9931435585021973, 0.7973135709762573, 0.3630165457725525, 0.47234901785850525, 0.4450136125087738, 0.40200570225715637, 0.4022722840309143, 0.44199705123901367, 0.470912903547287, 0.4922093152999878, 0.5087299942970276, 0.5205221176147461, 0.5298001170158386, 0.5382161736488342, 0.5456064343452454, 0.5520543456077576, 0.558246910572052]","[8567, 8809, 1, 1, 1289, 1289, 1289, 1289, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567]",0.558937857025548,0.3630165457725525,-0.6214035675149965,19
