gold_answers_json,prediction,exact_match,f1,correct_em,token_confidences_json,generated_token_ids_json,seq_conf_mean,seq_conf_min,seq_conf_logmean,generated_length
"[""Town Moor""]",annually in June,0,0.0,0,"[0.4901454448699951, 0.6923513412475586, 0.9991714954376221, 0.941979706287384, 0.9945959448814392, 0.19558653235435486, 0.3183768689632416, 0.37735623121261597, 0.4025272727012634, 0.42086488008499146, 0.4294256269931793, 0.43589675426483154, 0.43905335664749146, 0.44196662306785583, 0.44367802143096924, 0.4464149475097656, 0.4487263858318329, 0.45034322142601013, 0.45102474093437195]","[10943, 16, 1515, 1, 1, 270, 270, 10943, 10943, 10943, 10943, 10943, 10943, 10943, 10943, 10943, 10943, 10943, 10943]",0.5168150208498302,0.19558653235435486,-0.7369895779715618,19
"[""Hampstead Heath""]",St. James' Park,0,0.0,0,"[0.7706456184387207, 0.9977363348007202, 0.9996939897537231, 0.9926718473434448, 0.9911507368087769, 0.9881773591041565, 0.5465867519378662, 0.18472744524478912, 0.4422493278980255, 0.5901924967765808, 0.6504434943199158, 0.6756811141967773, 0.6894699335098267, 0.697606086730957, 0.7018098831176758, 0.7060754299163818, 0.7089425325393677, 0.7113493084907532, 0.7101792693138123]","[472, 5, 2549, 31, 1061, 1, 21225, 5845, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472]",0.7239678400127512,0.18472744524478912,-0.37949283634104763,19
"[""Club""]",Newcastle United Football Club,0,0.4,0,"[0.9899616241455078, 0.9977138042449951, 0.9951809644699097, 0.99866783618927, 0.9038204550743103, 0.8526212573051453, 0.5229669809341431, 0.7663820385932922, 0.8777217268943787, 0.9300389289855957, 0.9522431492805481, 0.9637040495872498, 0.969651997089386, 0.9733656048774719, 0.9759060144424438, 0.9779742956161499, 0.9794807434082031, 0.9807817935943604, 0.9816505908966064]","[21225, 907, 10929, 1949, 1, 1, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225, 21225]",0.9257807292436299,0.5229669809341431,-0.0866005347502649,19
"[""Newcastle""]",north of the city centre,0,0.0,0,"[0.41650864481925964, 0.9968074560165405, 0.9953334927558899, 0.9997846484184265, 0.9994705319404602, 0.9559493064880371, 0.9978856444358826, 0.16518500447273254, 0.24388982355594635, 0.17053110897541046, 0.16830019652843475, 0.21037986874580383, 0.24126887321472168, 0.2643353343009949, 0.2817610800266266, 0.29747119545936584, 0.3097793459892273, 0.3204735517501831, 0.3289131224155426]","[3457, 13, 8, 690, 2050, 1, 1, 12267, 12267, 12267, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457, 3457]",0.49284359106892034,0.16518500447273254,-0.9424406835928554,19
"[""green space""]",the freemen of the city,0,0.0,0,"[0.49105367064476013, 0.9914381504058838, 0.9997010231018066, 0.6547696590423584, 0.9995120763778687, 0.9998631477355957, 0.5090382099151611, 0.8160289525985718, 0.3254674971103668, 0.45332735776901245, 0.4150211215019226, 0.43045443296432495, 0.48023518919944763, 0.5121862292289734, 0.5315268635749817, 0.5454476475715637, 0.5582533478736877, 0.5652809143066406, 0.569493293762207]","[8, 339, 904, 13, 8, 690, 1, 1, 37, 37, 37, 8, 8, 8, 8, 8, 8, 8, 8]",0.6235841465623755,0.3254674971103668,-0.5271466556455567,19
"[""Newcastle""]",north of the city centre,0,0.0,0,"[0.14718574285507202, 0.9981762170791626, 0.9983084201812744, 0.999342143535614, 0.9985262155532837, 0.9474529027938843, 0.9963498115539551, 0.18765822052955627, 0.19742129743099213, 0.17257757484912872, 0.1542321741580963, 0.143853098154068, 0.13891315460205078, 0.13633030652999878, 0.13461850583553314, 0.1331559121608734, 0.13143077492713928, 0.12957511842250824, 0.12855061888694763]","[3457, 13, 8, 690, 2050, 1, 1, 37, 1524, 1524, 1524, 1524, 1524, 1524, 1524, 1524, 1524, 1524, 1524]",0.41440306368627045,0.12855061888694763,-1.313283666183345,19
"[""cattle""]",Green space,0,0.0,0,"[0.22995838522911072, 0.991298496723175, 0.9455793499946594, 0.9954889416694641, 0.3472951054573059, 0.1836433708667755, 0.2038862705230713, 0.19855473935604095, 0.19410620629787445, 0.18615597486495972, 0.1791629046201706, 0.17152132093906403, 0.16577908396720886, 0.1608595997095108, 0.15686528384685516, 0.15251433849334717, 0.15047301352024078, 0.15407931804656982, 0.1586751937866211]","[1862, 628, 1, 1, 94, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 1862, 1862, 1862]",0.31188931041642237,0.15047301352024078,-1.4349299321606248,19
"[""the Royal Shakespeare Company""]","Bob Geldof, King Harald V of Norway, Bobby Robson, Alan Shear",0,0.0,0,"[0.9481099843978882, 0.9999562501907349, 0.999997615814209, 0.9987462759017944, 0.9999691247940063, 0.9999998807907104, 0.999984622001648, 0.9999616146087646, 0.9999914169311523, 0.9994114637374878, 0.99959796667099, 0.9983129501342773, 0.9999953508377075, 0.9999970197677612, 0.9999663829803467, 0.9804737567901611, 0.9995300769805908, 0.998765230178833, 0.9884385466575623]","[5762, 6213, 858, 6, 2671, 3504, 138, 26, 584, 13, 16491, 6, 21395, 5376, 739, 6, 12453, 451, 291]",0.995326606850875,0.9481099843978882,-0.0047606879421251205,19
"[""Stagecoach North East""]",Tyne and Wear Passenger Transport Executive,0,0.0,0,"[0.3879694938659668, 0.9997839331626892, 0.9999641180038452, 0.9973764419555664, 0.9999772310256958, 0.9464618563652039, 0.999607503414154, 0.9999784231185913, 0.9408894181251526, 0.9949631690979004, 0.9424890875816345, 0.9871990084648132, 0.09026756137609482, 0.1507997065782547, 0.13874594867229462, 0.12019253522157669, 0.10068889707326889, 0.11983267962932587, 0.143205925822258]","[10352, 29, 15, 11, 16883, 3424, 35, 1304, 7608, 5408, 1, 1, 1263, 1263, 1263, 1263, 1263, 20024, 20024]",0.6347575230818046,0.09026756137609482,-0.8365612666061932,19
"[""Stagecoach""]",Haymarket,0,0.0,0,"[0.8941888213157654, 0.9999282360076904, 0.6149667501449585, 0.9877349734306335, 0.9131782650947571, 0.9085026383399963, 0.8044410347938538, 0.6557506322860718, 0.5217918157577515, 0.5463681221008301, 0.6206657886505127, 0.6772148013114929, 0.7166091799736023, 0.7415226697921753, 0.7601335644721985, 0.7776185870170593, 0.7920708656311035, 0.8063809871673584, 0.8164540529251099]","[8567, 8809, 1, 1, 1289, 1289, 1289, 1289, 1289, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567, 8567]",0.7660800940112064,0.5217918157577515,-0.2825064551870189,19
