true_label,pred_label,correct,confidence,logit_0,logit_1,logit_2
2,1,0,0.4918619394302368,-2.623366117477417,-0.7095572352409363,-0.8310772180557251
2,1,0,0.4148942828178406,-1.6187610626220703,-0.8797316551208496,-0.9494295716285706
0,1,0,0.9878289699554443,-5.9557204246521,-0.012245703488588333,-4.648077487945557
2,1,0,0.5969865322113037,-1.5033059120178223,-0.5158607363700867,-1.7113615274429321
1,2,0,0.6457363963127136,-1.0702521800994873,-4.4792799949646,-0.4373639225959778
1,1,1,0.6806925535202026,-4.764775276184082,-0.3846445381641388,-1.1686615943908691
2,1,0,0.5470389723777771,-2.5923070907592773,-0.6032352447509766,-0.972559928894043
1,2,0,0.6940466165542603,-3.4180331230163574,-1.297636866569519,-0.3652161657810211
1,0,0,0.4617297947406769,-0.7727752923965454,-1.7586923837661743,-1.0051212310791016
0,2,0,0.5944138169288635,-0.978620171546936,-3.514694929122925,-0.5201794505119324
1,0,0,0.4002504050731659,-0.9156649112701416,-1.5218079090118408,-0.9638206958770752
1,0,0,0.9210016131401062,-0.08229348808526993,-3.033169746398926,-3.4790854454040527
2,2,1,0.42790597677230835,-1.082434892654419,-1.455325722694397,-0.8488518595695496
0,0,1,0.916779637336731,-0.0868881419301033,-5.104732036590576,-2.56197190284729
1,2,0,0.8652942180633545,-2.6459102630615234,-2.7525501251220703,-0.14468568563461304
2,1,0,0.6907153129577637,-2.176144599914551,-0.3700275421142578,-1.630628228187561
1,1,1,0.9358794093132019,-5.365345478057861,-0.06626864522695541,-2.8227078914642334
1,0,0,0.5820751190185547,-0.5411557555198669,-2.7724571228027344,-1.034464716911316
1,1,1,0.776505708694458,-2.4569308757781982,-0.2529512941837311,-1.9819751977920532
0,1,0,0.7383739948272705,-1.5212476253509521,-0.3033048212528229,-3.142219305038452
2,2,1,0.7884749174118042,-2.865532875061035,-1.8670932054519653,-0.2376546859741211
0,0,1,0.3691570460796356,-0.9965330362319946,-1.007291555404663,-1.3256278038024902
2,1,0,0.3799934685230255,-1.2930372953414917,-0.9676011800765991,-1.0625585317611694
2,2,1,0.4419148564338684,-1.6260355710983276,-1.0178327560424805,-0.8166379928588867
0,1,0,0.5649325847625732,-2.2387380599975586,-0.5710488557815552,-1.1132961511611938
1,2,0,0.6678755283355713,-1.8887951374053955,-1.7099735736846924,-0.40365347266197205
0,1,0,0.7771950364112854,-2.5266711711883545,-0.25206395983695984,-1.9457480907440186
0,0,1,0.6243369579315186,-0.47106504440307617,-3.215841770172119,-1.0920095443725586
0,2,0,0.6570261120796204,-1.8086423873901367,-1.7198257446289062,-0.42003151774406433
1,1,1,0.989334762096405,-6.271595001220703,-0.010722518898546696,-4.735734939575195
0,0,1,0.9506559371948242,-0.050603073090314865,-4.732306480407715,-3.205519914627075
1,1,1,0.40316200256347656,-0.9662724137306213,-0.9084168076515198,-1.5309077501296997
1,0,0,0.6328715682029724,-0.4574877619743347,-3.191349744796753,-1.1208206415176392
1,2,0,0.46368086338043213,-0.7701321840286255,-2.6122772693634033,-0.7685586810112
0,0,1,0.8193202018737793,-0.19928030669689178,-2.356635570526123,-2.454089641571045
1,0,0,0.7238580584526062,-0.32315996289253235,-4.923401832580566,-1.3135364055633545
0,2,0,0.7762531042098999,-3.0601041316986084,-1.7323739528656006,-0.25327664613723755
0,0,1,0.7579427361488342,-0.27714744210243225,-4.07957124710083,-1.491021752357483
0,2,0,0.6025446057319641,-0.982986330986023,-3.760873556137085,-0.5065935850143433
0,0,1,0.6281712055206299,-0.4649425148963928,-4.211668491363525,-1.0299993753433228
0,2,0,0.6849917769432068,-1.1694256067276,-5.4119486808776855,-0.3783484399318695
0,2,0,0.6927462816238403,-1.366721749305725,-2.9505231380462646,-0.3670913875102997
0,1,0,0.5716244578361511,-1.1647900342941284,-0.5592730641365051,-2.1508309841156006
2,0,0,0.8015757203102112,-0.22117583453655243,-3.6610610485076904,-1.7560888528823853
1,2,0,0.9213385581970215,-2.9495387077331543,-3.6382803916931152,-0.08192770928144455
0,0,1,0.48111143708229065,-0.7316563725471497,-2.0756418704986572,-0.9328960180282593
0,2,0,0.9152429699897766,-2.550698757171631,-5.001187801361084,-0.08856570720672607
1,1,1,0.6952813267707825,-2.6430342197418213,-0.3634387254714966,-1.4542580842971802
1,1,1,0.8312938809394836,-2.4280457496643066,-0.18477189540863037,-2.5195345878601074
0,2,0,0.5171207189559937,-0.8923638463020325,-2.614654064178467,-0.6594789624214172
1,0,0,0.8437874913215637,-0.16985461115837097,-3.1932740211486816,-2.1613011360168457
2,1,0,0.8962061405181885,-4.008872032165527,-0.10958482325077057,-2.4576034545898438
0,2,0,0.7620134353637695,-2.2409274578094482,-2.027785062789917,-0.27179110050201416
1,2,0,0.8378577828407288,-3.056612730026245,-2.161993980407715,-0.17690689861774445
2,2,1,0.5415149927139282,-1.723419427871704,-1.272857904434204,-0.6133845448493958
2,1,0,0.4684450328350067,-1.0260820388793945,-0.7583365440368652,-1.7536168098449707
1,1,1,0.6478461623191833,-5.381555557250977,-0.43410202860832214,-1.056837558746338
2,2,1,0.5086752772331238,-1.0322113037109375,-2.0016932487487793,-0.6759454011917114
0,0,1,0.6461222767829895,-0.43676650524139404,-2.786722183227539,-1.2301291227340698
2,1,0,0.6884761452674866,-1.8659541606903076,-0.37327462434768677,-1.8529412746429443
1,1,1,0.891605019569397,-5.080638408660889,-0.1147320494055748,-2.2810285091400146
0,2,0,0.9261106848716736,-2.705852746963501,-4.951051235198975,-0.07676152139902115
0,0,1,0.5638559460639954,-0.5729565024375916,-2.37081241607666,-1.070785403251648
1,1,1,0.8664800524711609,-3.2840542793273926,-0.14331619441509247,-2.342949390411377
1,1,1,0.4016783535480499,-1.2374399900436401,-0.912103533744812,-1.1770203113555908
1,1,1,0.6979768872261047,-1.9053981304168701,-0.3595692813396454,-1.8756214380264282
2,1,0,0.7301437258720398,-2.2688281536102295,-0.3145138919353485,-1.7932230234146118
0,0,1,0.7884756326675415,-0.23765377700328827,-5.00528621673584,-1.5856142044067383
1,2,0,0.7206277847290039,-1.3750396966934204,-3.6290013790130615,-0.32763251662254333
1,1,1,0.5938736796379089,-1.9931640625,-0.5210886597633362,-1.3098417520523071
0,0,1,0.4582650661468506,-0.7803075313568115,-1.7580621242523193,-0.9959933757781982
2,2,1,0.3925626277923584,-1.3085256814956665,-1.0870219469070435,-0.9350591897964478
2,1,0,0.6676596403121948,-1.7455246448516846,-0.40397676825523376,-1.846509337425232
0,0,1,0.60237717628479,-0.5068714618682861,-2.5231268405914307,-1.1475470066070557
0,2,0,0.40246501564979553,-1.3886083364486694,-1.055228590965271,-0.9101470708847046
2,0,0,0.7810014486312866,-0.24717827141284943,-2.864812135696411,-1.820129632949829
1,1,1,0.9820704460144043,-5.1357340812683105,-0.018092235550284386,-4.418948650360107
2,2,1,0.5973624587059021,-3.3844051361083984,-0.9976641535758972,-0.5152312517166138
0,1,0,0.7564335465431213,-2.9141948223114014,-0.2791405916213989,-1.664323091506958
1,2,0,0.4921394884586334,-2.2655467987060547,-0.9061242341995239,-0.7089930772781372
0,0,1,0.6299961805343628,-0.4620415270328522,-2.513159990310669,-1.2413561344146729
0,0,1,0.6058040261268616,-0.5011987686157227,-4.246461868286133,-0.9678968191146851
1,2,0,0.6267735362052917,-2.169933557510376,-1.3507678508758545,-0.46717000007629395
0,0,1,0.7784618139266968,-0.25043535232543945,-2.0160269737243652,-2.426395893096924
0,0,1,0.40265247225761414,-0.9096814393997192,-1.4758354425430298,-0.9976096749305725
0,2,0,0.6084840297698975,-1.7969202995300293,-1.4885168075561523,-0.49678462743759155
2,2,1,0.4689280092716217,-1.509708285331726,-1.1708682775497437,-0.7573060393333435
0,2,0,0.9400990009307861,-3.094379425048828,-4.226881980895996,-0.06177008897066116
2,2,1,0.6409047245979309,-1.7232595682144165,-1.7114055156707764,-0.44487446546554565
0,1,0,0.691626787185669,-1.4362419843673706,-0.36870887875556946,-2.651385545730591
1,2,0,0.8967282772064209,-2.3622241020202637,-4.7037458419799805,-0.10900238901376724
2,0,0,0.5248692631721497,-0.6446059346199036,-2.3726601600646973,-0.9626009464263916
0,0,1,0.9208266139030457,-0.08248351514339447,-5.871665000915527,-2.572359323501587
2,0,0,0.7343039512634277,-0.30883222818374634,-4.250783443450928,-1.3805385828018188
2,1,0,0.5369018316268921,-1.194164752960205,-0.621940016746521,-1.8316988945007324
0,2,0,0.9502835273742676,-3.720473289489746,-3.6693153381347656,-0.050994887948036194
0,1,0,0.8834865689277649,-3.223383665084839,-0.12387918680906296,-2.567941427230835
0,0,1,0.9732959270477295,-0.02706710435450077,-5.191280364990234,-3.8566226959228516
0,0,1,0.8739700317382812,-0.1347091943025589,-4.7861480712890625,-2.139739990234375
0,2,0,0.8230894207954407,-1.7954127788543701,-4.523437023162842,-0.19469043612480164
0,0,1,0.6127302646636963,-0.48983055353164673,-2.0432543754577637,-1.3561006784439087
0,2,0,0.5380649566650391,-0.7924082279205322,-4.690528869628906,-0.6197760105133057
1,1,1,0.5383423566818237,-1.9434481859207153,-0.6192605495452881,-1.1442949771881104
2,0,0,0.6249119639396667,-0.47014451026916504,-4.455779552459717,-1.0120400190353394
1,1,1,0.8330295085906982,-3.200437545776367,-0.1826862096786499,-2.0696804523468018
1,0,0,0.6496270895004272,-0.4313567876815796,-3.613403797149658,-1.128825068473816
1,2,0,0.5355574488639832,-0.846900224685669,-3.3325865268707275,-0.6244471073150635
1,2,0,0.8670408129692078,-2.3268189430236816,-3.3423609733581543,-0.14266923069953918
0,1,0,0.8547365069389343,-3.234032392501831,-0.15696203708648682,-2.245589017868042
2,0,0,0.6224455833435059,-0.4740990698337555,-1.5695080757141113,-1.7754515409469604
0,2,0,0.8080256581306458,-1.931883692741394,-3.055497169494629,-0.21316146850585938
1,2,0,0.4999830722808838,-2.70053768157959,-0.8373698592185974,-0.693181037902832
0,2,0,0.500807523727417,-1.570497751235962,-1.2335704565048218,-0.6915334463119507
0,0,1,0.34931033849716187,-1.0517945289611816,-1.1396751403808594,-1.10634183883667
2,1,0,0.4573017656803131,-2.2481110095977783,-0.7824118137359619,-0.8275940418243408
2,0,0,0.4404290020465851,-0.8200060129165649,-1.0319898128509521,-1.5932022333145142
0,0,1,0.5781413316726685,-0.5479369163513184,-1.4716830253601074,-1.6485953330993652
0,0,1,0.9527473449707031,-0.04840552434325218,-3.8354127407073975,-3.6628150939941406
2,0,0,0.4479312002658844,-0.8031156063079834,-1.4285342693328857,-1.1634424924850464
2,1,0,0.6212713122367859,-2.041236639022827,-0.4759873151779175,-1.390862226486206
0,2,0,0.5300421714782715,-1.7107303142547607,-1.2405534982681274,-0.6347987055778503
2,2,1,0.4622448980808258,-1.751947045326233,-1.0097250938415527,-0.7716604471206665
1,0,0,0.41884931921958923,-0.870244026184082,-1.1090340614318848,-1.3812144994735718
1,1,1,0.7839630246162415,-3.791205406188965,-0.2433934211730957,-1.6426401138305664
