true_label,pred_label,correct,confidence,logit_0,logit_1,logit_2
2,1,0,0.8016366958618164,-1.6483405828475952,-0.22109976410865784,-5.1169257164001465
1,1,1,0.6769024133682251,-1.156787633895874,-0.3902280926704407,-4.755678176879883
2,1,0,0.9621738791465759,-3.410400629043579,-0.03856009617447853,-5.339519023895264
2,0,0,0.8678865432739258,-0.14169427752494812,-2.2629168033599854,-3.5731656551361084
0,0,1,0.9885578155517578,-0.011508150026202202,-4.688582897186279,-6.100147724151611
0,0,1,0.6064938902854919,-0.5000606179237366,-1.4449458122253418,-1.8467612266540527
1,1,1,0.9834877848625183,-4.147330284118652,-0.016650062054395676,-7.256446838378906
1,1,1,0.9465000033378601,-3.047589063644409,-0.054984305053949356,-5.111550331115723
2,1,0,0.932940661907196,-2.772465229034424,-0.0694136768579483,-5.392265796661377
2,0,0,0.947273313999176,-0.05416761711239815,-2.964113712310791,-6.793976306915283
1,1,1,0.9832314252853394,-4.1216721534729,-0.01691075973212719,-7.5034990310668945
2,0,0,0.8182218074798584,-0.20062188804149628,-2.8931057453155518,-2.0685067176818848
1,1,1,0.9936314225196838,-5.098186016082764,-0.006388943176716566,-8.25179386138916
1,1,1,0.7058581709861755,-1.3040441274642944,-0.3483409583568573,-3.7849550247192383
1,1,1,0.9831759929656982,-4.1699676513671875,-0.016967138275504112,-6.592034339904785
2,0,0,0.8142837882041931,-0.20544634759426117,-1.9684854745864868,-3.0780718326568604
0,0,1,0.9366475343704224,-0.06544823199510574,-2.7941031455993652,-6.127129077911377
0,0,1,0.9247550964355469,-0.07822633534669876,-2.620593786239624,-5.997365951538086
1,1,1,0.993847668170929,-5.115137100219727,-0.006171335466206074,-8.824020385742188
1,1,1,0.9817085266113281,-4.041415691375732,-0.0184608306735754,-7.2377028465271
0,0,1,0.821670413017273,-0.19641591608524323,-1.9272942543029785,-3.417689323425293
1,1,1,0.8996677994728088,-2.370743751525879,-0.10572969168424606,-4.973196983337402
1,1,1,0.9939184188842773,-5.172622203826904,-0.006100149359554052,-7.7948174476623535
0,0,1,0.5741410255432129,-0.5548802614212036,-0.9805899858474731,-2.9804635047912598
1,1,1,0.9605090022087097,-3.2430803775787354,-0.0402919240295887,-7.71173095703125
0,0,1,0.9605622291564941,-0.04023651033639908,-3.251690149307251,-7.223760604858398
0,0,1,0.9932621121406555,-0.0067606898956000805,-5.087533473968506,-7.479187488555908
0,0,1,0.9830264449119568,-0.017119256779551506,-4.496983528137207,-5.1445512771606445
2,1,0,0.5400590896606445,-0.8237635493278503,-0.6160767078399658,-3.8554632663726807
2,1,0,0.8113807439804077,-1.9821540117263794,-0.20901785790920258,-2.9789316654205322
2,1,0,0.9867571592330933,-4.3847150802612305,-0.013331308960914612,-7.160900115966797
1,1,1,0.9890097975730896,-4.540858268737793,-0.011051041074097157,-8.028887748718262
2,0,0,0.8782363533973694,-0.12983952462673187,-2.202536106109619,-4.488170623779297
0,0,1,0.5360042452812195,-0.623613178730011,-0.9179800152778625,-2.7384440898895264
2,1,0,0.8864659070968628,-2.201308488845825,-0.12051261216402054,-5.851418972015381
0,0,1,0.8934357166290283,-0.1126808226108551,-2.403599500656128,-4.124454021453857
0,0,1,0.941396176815033,-0.06039121001958847,-2.9079296588897705,-5.517660617828369
1,1,1,0.9797638654708862,-3.922879457473755,-0.020443689078092575,-7.701560974121094
1,1,1,0.9920765161514282,-4.931619167327881,-0.007955041714012623,-7.252114772796631
1,1,1,0.990726113319397,-4.698301315307617,-0.009317156858742237,-8.720821380615234
2,1,0,0.9165560603141785,-2.6233620643615723,-0.08713191747665405,-4.520333766937256
0,0,1,0.9169073104858398,-0.0867488905787468,-2.766674757003784,-3.9009835720062256
2,1,0,0.6619886159896851,-1.0941413640975952,-0.41250693798065186,-5.74949836730957
1,1,1,0.383506715297699,-1.115316390991211,-0.9583982229232788,-1.242430567741394
1,1,1,0.9743945002555847,-3.710256576538086,-0.025939026847481728,-6.781740665435791
2,1,0,0.7376818060874939,-1.4340229034423828,-0.30424270033836365,-3.7309517860412598
2,0,0,0.9937931299209595,-0.006226212717592716,-5.155221462249756,-7.734249591827393
0,0,1,0.822800874710083,-0.19504106044769287,-1.762762427330017,-5.1798529624938965
1,1,1,0.9457796812057495,-2.954270362854004,-0.05574563145637512,-6.164079189300537
1,1,1,0.9278584718704224,-2.8678476810455322,-0.07487606257200241,-4.178566932678223
2,1,0,0.7158457040786743,-1.268148422241211,-0.33429062366485596,-5.877359390258789
1,1,1,0.9824566841125488,-4.132824897766113,-0.017699023708701134,-6.4984235763549805
0,0,1,0.9271110892295837,-0.07568188011646271,-2.8708784580230713,-4.120293617248535
0,0,1,0.9553325772285461,-0.045695751905441284,-3.136225700378418,-6.708148002624512
0,1,0,0.6622443795204163,-1.1816399097442627,-0.41212064027786255,-3.4744021892547607
0,0,1,0.976749062538147,-0.023525504395365715,-3.823927640914917,-6.564769744873047
0,0,1,0.746997594833374,-0.2916933000087738,-1.5059705972671509,-3.4673211574554443
1,1,1,0.9673455953598022,-3.4806301593780518,-0.033199459314346313,-6.283742427825928
0,0,1,0.9215741753578186,-0.08167201280593872,-2.6057708263397217,-5.386134147644043
1,1,1,0.9764926433563232,-3.773791790008545,-0.02378806285560131,-7.51925802230835
1,1,1,0.9816656708717346,-4.045668601989746,-0.018504485487937927,-7.086438179016113
2,1,0,0.9569441676139832,-3.3909878730773926,-0.044010229408741,-4.669126987457275
0,0,1,0.9272508025169373,-0.07553119957447052,-3.0366854667663574,-3.6987082958221436
2,1,0,0.9902160167694092,-4.745650768280029,-0.009832160547375679,-6.817423343658447
0,0,1,0.905310869216919,-0.0994768887758255,-2.5267789363861084,-4.2149505615234375
2,1,0,0.7783485651016235,-1.6276144981384277,-0.2505808174610138,-3.6787757873535156
1,1,1,0.8916054964065552,-2.2350852489471436,-0.11473151296377182,-6.563110828399658
0,0,1,0.988937497138977,-0.011124147102236748,-4.612457752227783,-6.781040668487549
0,0,1,0.8967018127441406,-0.10903190076351166,-2.354032278060913,-4.789950847625732
0,0,1,0.8142954707145691,-0.2054319977760315,-1.7748476266860962,-4.123037815093994
1,1,1,0.7166672945022583,-1.2875258922576904,-0.33314356207847595,-4.908979415893555
0,0,1,0.9334036707878113,-0.06891751289367676,-2.8288984298706055,-4.89039421081543
0,0,1,0.9769001007080078,-0.023370882496237755,-3.87611985206604,-6.045355319976807
1,1,1,0.9754309058189392,-3.715541124343872,-0.024875950068235397,-8.391014099121094
1,1,1,0.9380069375038147,-3.7919883728027344,-0.06399793177843094,-3.2329139709472656
2,0,0,0.7607582211494446,-0.2734396755695343,-1.4705708026885986,-4.6620049476623535
1,1,1,0.739739179611206,-1.3740479946136475,-0.30145761370658875,-4.936399459838867
0,0,1,0.8706898093223572,-0.13846956193447113,-2.235595703125,-3.7995095252990723
1,1,1,0.6587036848068237,-1.1020889282226562,-0.4174814820289612,-4.697301387786865
1,1,1,0.9466687440872192,-2.962195873260498,-0.05480591580271721,-6.42167854309082
0,0,1,0.9093566536903381,-0.09501790255308151,-2.415371894836426,-6.638378620147705
2,0,0,0.9268664121627808,-0.07594583183526993,-2.913776159286499,-3.970543622970581
1,1,1,0.9928498268127441,-5.018560886383057,-0.00717585813254118,-7.531158924102783
0,0,1,0.8303633332252502,-0.18589192628860474,-1.813401460647583,-5.030093669891357
0,0,1,0.9339689016342163,-0.0683121383190155,-2.8044235706329346,-5.20492696762085
2,0,0,0.8329672813415527,-0.18276090919971466,-2.1319243907928467,-3.027761220932007
0,0,1,0.5402977466583252,-0.6156349182128906,-0.827664852142334,-3.7883224487304688
2,0,0,0.7339959740638733,-0.30925172567367554,-1.4769377708435059,-3.278939723968506
2,1,0,0.830748438835144,-1.8565603494644165,-0.18542824685573578,-4.339541912078857
1,1,1,0.9701297283172607,-3.528010368347168,-0.030325476080179214,-7.586986541748047
0,0,1,0.7327780723571777,-0.3109124004840851,-1.5480221509933472,-2.9085676670074463
2,1,0,0.9082815051078796,-2.3982229232788086,-0.09620092064142227,-7.083097457885742
1,1,1,0.9111802577972412,-2.4327681064605713,-0.09301453083753586,-6.88186502456665
2,1,0,0.927596926689148,-2.663085699081421,-0.07515798509120941,-5.925536632537842
1,1,1,0.8348691463470459,-1.8207671642303467,-0.18048027157783508,-5.735474109649658
0,0,1,0.9272373914718628,-0.07554566115140915,-2.6444287300109863,-6.367368221282959
1,1,1,0.9346743822097778,-2.794240713119507,-0.06755706667900085,-5.481208801269531
0,0,1,0.9840627908706665,-0.0160655714571476,-4.176220893859863,-7.451201438903809
2,0,0,0.9128323793411255,-0.09120301157236099,-2.583177089691162,-4.453829288482666
2,1,0,0.804102897644043,-1.6481716632843018,-0.2180279642343521,-5.656210899353027
1,1,1,0.9783299565315247,-3.847116231918335,-0.021908286958932877,-8.019721984863281
1,1,1,0.9817302227020264,-4.024458885192871,-0.018438730388879776,-7.8322649002075195
0,1,0,0.5292885303497314,-0.7595765590667725,-0.6362215876579285,-5.861510276794434
2,0,0,0.8416691422462463,-0.17236828804016113,-1.8581887483596802,-6.04234504699707
1,1,1,0.8762326240539551,-2.1168391704559326,-0.132123664021492,-5.69709587097168
1,0,0,0.5199115872383118,-0.6540964841842651,-0.8492487668991089,-2.9497601985931396
2,0,0,0.687995195388794,-0.37397342920303345,-1.6841816902160645,-2.0682358741760254
1,1,1,0.9791437983512878,-3.9464964866638184,-0.021076764911413193,-6.479965686798096
1,1,1,0.9483389258384705,-3.0122432708740234,-0.05304332450032234,-5.999563217163086
0,0,1,0.9757463932037354,-0.024552568793296814,-3.765955686569214,-6.80500602722168
0,0,1,0.8650220036506653,-0.14500033855438232,-2.0899343490600586,-4.4844841957092285
1,1,1,0.9867124557495117,-4.348423480987549,-0.013376613147556782,-7.928349018096924
1,1,1,0.9588361382484436,-3.267723560333252,-0.04203508421778679,-5.78582239151001
1,1,1,0.981248140335083,-4.1255035400390625,-0.01892990432679653,-5.953578948974609
0,1,0,0.7487784028053284,-1.425452470779419,-0.2893121838569641,-4.526185035705566
1,1,1,0.9923543930053711,-4.894123077392578,-0.007674984633922577,-8.77132511138916
1,1,1,0.9617397785186768,-3.4239413738250732,-0.03901136666536331,-5.171438217163086
1,1,1,0.9593998789787292,-3.2361185550689697,-0.041447315365076065,-6.657873153686523
0,0,1,0.9595334529876709,-0.041308097541332245,-3.2860684394836426,-5.7873969078063965
2,0,0,0.915632963180542,-0.08813969045877457,-2.507856845855713,-5.834670066833496
0,0,1,0.6363092660903931,-0.45207056403160095,-1.0910295248031616,-3.5819921493530273
1,1,1,0.8910550475120544,-2.304084539413452,-0.11534906923770905,-4.700055122375488
1,1,1,0.9953553676605225,-5.419849395751953,-0.004655451979488134,-8.436525344848633
2,0,0,0.9882992506027222,-0.011769741773605347,-4.6541876792907715,-6.128836154937744
1,1,1,0.9432408809661865,-2.9798007011413574,-0.05843358859419823,-5.123325347900391
2,1,0,0.8152981400489807,-1.8196465969085693,-0.20420141518115997,-3.788970708847046
1,0,0,0.7897541522979736,-0.2360335886478424,-1.6141163110733032,-4.493687152862549
0,0,1,0.7764797806739807,-0.2529846727848053,-1.5350199937820435,-4.819746494293213
1,1,1,0.9475794434547424,-2.959519863128662,-0.053844500333070755,-7.458012580871582
1,1,1,0.9961557984352112,-5.613678455352783,-0.0038516095373779535,-8.53453254699707
0,0,1,0.7678206562995911,-0.2641991078853607,-1.5061743259429932,-4.56376838684082
0,0,1,0.9067881107330322,-0.09784647077322006,-2.932741165161133,-3.219851493835449
2,0,0,0.7882146239280701,-0.23798494040966034,-2.1932835578918457,-2.300232172012329
1,1,1,0.9722639918327332,-3.6128437519073486,-0.028127914294600487,-7.1808271408081055
1,1,1,0.9050990343093872,-2.3769125938415527,-0.09971091151237488,-6.183027744293213
1,1,1,0.9839248657226562,-4.1566572189331055,-0.016205741092562675,-7.7865753173828125
0,0,1,0.8340467810630798,-0.18146578967571259,-1.8391282558441162,-4.962228298187256
2,1,0,0.9651776552200317,-3.4547741413116455,-0.03544309735298157,-5.735938549041748
2,0,0,0.7844546437263489,-0.24276652932167053,-1.7673150300979614,-3.10656476020813
1,1,1,0.70501309633255,-1.257681965827942,-0.3495388925075531,-4.539889335632324
0,0,1,0.706410825252533,-0.34755831956863403,-1.3502609729766846,-3.369215726852417
0,1,0,0.4859519302845001,-0.9949028491973877,-0.7216455936431885,-1.9359389543533325
0,0,1,0.7230564951896667,-0.3242679238319397,-2.1244568824768066,-1.8486747741699219
0,0,1,0.9307325482368469,-0.07178331911563873,-2.9457333087921143,-4.092108726501465
1,1,1,0.9958654642105103,-5.5170416831970215,-0.004143106751143932,-9.054518699645996
2,1,0,0.9824057221412659,-4.113101005554199,-0.017750896513462067,-6.694775104522705
0,0,1,0.8315838575363159,-0.1844230592250824,-1.8364553451538086,-4.7066802978515625
0,0,1,0.9200604557991028,-0.0833159014582634,-2.6269969940185547,-4.873795032501221
0,0,1,0.9702187180519104,-0.030233750119805336,-3.6220178604125977,-5.791779041290283
0,0,1,0.8269869089126587,-0.18996641039848328,-1.7885982990264893,-5.1466755867004395
