true_label,pred_label,correct,confidence,logit_0,logit_1
1,1,1,0.9829436540603638,-4.07123327255249,-0.017203480005264282
1,1,1,0.6925493478775024,-1.1794408559799194,-0.36737579107284546
0,1,0,0.5577981472015381,-0.8159888386726379,-0.5837581157684326
1,1,1,0.5353057384490967,-0.7663756608963013,-0.624917209148407
1,1,1,0.9828562140464783,-4.0661211013793945,-0.017292441800236702
0,0,1,0.9995701909065247,-0.0004299014981370419,-7.752209663391113
0,0,1,0.9972063899040222,-0.0027975195553153753,-5.8804473876953125
0,0,1,0.9656017422676086,-0.03500380367040634,-3.3697493076324463
0,0,1,0.9979531764984131,-0.0020489210728555918,-6.191473007202148
1,0,0,0.8412990570068359,-0.17280808091163635,-1.8407338857650757
0,0,1,0.7483499646186829,-0.2898845374584198,-1.379715919494629
1,1,1,0.9944666028022766,-5.196944713592529,-0.0055487630888819695
1,1,1,0.5639065504074097,-0.8298987150192261,-0.5728667378425598
1,0,0,0.6936568021774292,-0.36577796936035156,-1.183049201965332
1,1,1,0.907685399055481,-2.3825531005859375,-0.09685743600130081
1,1,1,0.8232647776603699,-1.733102560043335,-0.1944774091243744
1,1,1,0.9828894734382629,-4.068061351776123,-0.017258603125810623
0,1,0,0.9632447957992554,-3.3034744262695312,-0.037447698414325714
1,1,1,0.9797953367233276,-3.9018430709838867,-0.020411569625139236
0,1,0,0.9973234534263611,-5.923214435577393,-0.0026801349595189095
1,0,0,0.5756266117095947,-0.552295982837677,-0.8571417331695557
0,0,1,0.9980008006095886,-0.002001200569793582,-6.215027332305908
1,1,1,0.8779920339584351,-2.1036691665649414,-0.1301177591085434
0,0,1,0.7265015840530396,-0.31951460242271423,-1.296459436416626
0,0,1,0.9451804757118225,-0.05637938901782036,-2.9037091732025146
1,1,1,0.7708590030670166,-1.47341787815094,-0.2602497935295105
1,1,1,0.9991231560707092,-7.039210319519043,-0.0008772285655140877
1,1,1,0.593485414981842,-0.9001353979110718,-0.5217426419258118
0,0,1,0.7862865328788757,-0.24043400585651398,-1.543119192123413
0,0,1,0.9179524779319763,-0.08560965210199356,-2.500457525253296
1,1,1,0.9660742282867432,-3.3835794925689697,-0.03451460599899292
0,0,1,0.999427080154419,-0.0005730840493924916,-7.464611053466797
0,0,1,0.9929158687591553,-0.007109342608600855,-4.949897766113281
1,0,0,0.7430887222290039,-0.29693982005119324,-1.3590245246887207
0,0,1,0.9865068197250366,-0.013585040345788002,-4.305574417114258
1,1,1,0.8825602531433105,-2.1418297290802,-0.12492821365594864
1,0,0,0.6729180216789246,-0.3961317837238312,-1.117544412612915
0,1,0,0.9090384840965271,-2.3973183631896973,-0.09536784887313843
1,1,1,0.9803529977798462,-3.929828643798828,-0.019842570647597313
0,0,1,0.6901737451553345,-0.37081190943717957,-1.1717437505722046
1,1,1,0.742374062538147,-1.3562465906143188,-0.29790210723876953
1,1,1,0.9589635133743286,-3.193293333053589,-0.04190225154161453
1,1,1,0.5965112447738647,-0.907606840133667,-0.5166571736335754
0,0,1,0.8492632508277893,-0.16338606178760529,-1.8922202587127686
0,1,0,0.8429348468780518,-1.8510947227478027,-0.17086561024188995
0,0,1,0.9339557886123657,-0.06832617521286011,-2.717430353164673
1,1,1,0.5061912536621094,-0.7056071162223816,-0.6808407306671143
1,1,1,0.9937562942504883,-5.076180934906006,-0.006263279356062412
1,1,1,0.9992849230766296,-7.2431535720825195,-0.0007153326878324151
1,0,0,0.7000620365142822,-0.3565863370895386,-1.2041796445846558
1,1,1,0.9934426546096802,-5.027162551879883,-0.006578939035534859
1,1,1,0.9065235257148743,-2.3700461387634277,-0.09813829511404037
0,0,1,0.6960917115211487,-0.3622738718986511,-1.1910291910171509
1,0,0,0.8221487402915955,-0.1958339512348175,-1.7268078327178955
1,1,1,0.8960914015769958,-2.2642436027526855,-0.1097128614783287
1,0,0,0.9827420115470886,-0.017408642917871475,-4.059481143951416
1,1,1,0.8609147071838379,-1.9726673364639282,-0.14975984394550323
1,1,1,0.6959609389305115,-1.1905990839004517,-0.36246174573898315
1,0,0,0.9614495635032654,-0.039313171058893204,-3.2557880878448486
0,1,0,0.994922935962677,-5.283016681671143,-0.005089995916932821
0,0,1,0.969283401966095,-0.03119824081659317,-3.482950448989868
0,1,0,0.5970565676689148,-0.9089590311050415,-0.5157434344291687
